"fips","ur.code","division","tot.pop","latino","white","black","amind","api","d.black","d.api","d.white","d.latino","d.mid","d.amind","d.na","d.total"
1001,"3: medium metro","East South Central",55221,1440,41848,10315,230,558,0,0,1,0,0,0,0,1
1003,"4: small metro","East South Central",195121,8776,162153,18735,1166,1307,0,0,7,0,0,0,0,7
1005,"6: noncore","East South Central",26932,1241,12454,12595,52,244,2,0,0,0,0,0,0,2
1007,"2: large fringe metro","East South Central",22604,502,16840,4846,93,21,1,0,0,0,0,0,0,1
1009,"2: large fringe metro","East South Central",57710,4980,50700,884,326,83,0,0,3,0,0,0,0,3
1011,"6: noncore","East South Central",10678,473,2372,7550,124,22,0,0,0,0,0,0,0,0
1013,"6: noncore","East South Central",20354,240,10856,8961,13,81,0,0,0,0,0,0,0,0
1015,"4: small metro","East South Central",116648,4075,85184,23895,223,1007,0,0,5,0,0,0,2,7
1017,"5: micropolitan","East South Central",34079,152,19522,13738,57,269,0,0,0,0,0,0,0,0
1019,"6: noncore","East South Central",26008,391,23854,1281,144,92,0,0,1,0,0,0,0,1
1021,"2: large fringe metro","East South Central",43819,3350,35289,4528,158,126,0,0,1,0,0,0,1,2
1023,"6: noncore","East South Central",13395,48,7487,5801,2,0,0,0,0,0,0,0,0,0
1025,"6: noncore","East South Central",25070,85,13376,11346,7,186,0,0,0,0,0,0,0,0
1027,"6: noncore","East South Central",13537,430,10821,1963,105,0,0,0,0,0,0,0,0,0
1029,"6: noncore","East South Central",15002,345,13877,442,33,53,2,0,0,0,0,0,0,2
1031,"5: micropolitan","East South Central",50884,3276,36392,8829,475,627,0,0,0,0,0,0,0,0
1033,"4: small metro","East South Central",54444,1321,42957,8478,312,213,0,0,2,0,0,0,1,3
1035,"6: noncore","East South Central",12865,210,6557,5752,37,6,1,0,0,0,0,0,0,1
1037,"5: micropolitan","East South Central",11027,237,7190,3384,7,0,0,0,0,0,0,0,0,0
1039,"6: noncore","East South Central",37886,580,31577,4933,171,140,0,0,1,0,0,0,0,1
1041,"6: noncore","East South Central",13938,237,9825,3277,108,253,0,0,1,0,0,0,0,1
1043,"5: micropolitan","East South Central",80965,3493,74635,964,331,472,0,0,2,0,0,0,0,2
1045,"5: micropolitan","East South Central",49866,2980,34829,9798,258,598,0,0,3,0,0,0,0,3
1047,"5: micropolitan","East South Central",42154,130,12045,29164,77,164,5,0,0,0,0,0,1,6
1049,"6: noncore","East South Central",71068,9957,57485,1295,877,949,0,0,1,0,0,0,0,1
1051,"3: medium metro","East South Central",80763,2229,59479,17137,222,417,1,0,3,0,0,0,0,4
1053,"6: noncore","East South Central",37935,466,23023,12678,1207,49,0,0,1,0,0,0,1,2
1055,"4: small metro","East South Central",103766,3740,81479,16025,343,786,1,0,5,0,0,0,1,7
1057,"6: noncore","East South Central",16896,126,14413,2093,0,66,1,0,0,0,0,0,0,1
1059,"6: noncore","East South Central",31634,4958,24833,1554,373,67,0,0,1,0,0,0,0,1
1061,"4: small metro","East South Central",26815,973,22534,2387,87,329,0,0,0,0,0,0,0,0
1063,"6: noncore","East South Central",8697,61,1547,7015,7,14,2,0,0,0,0,0,0,2
1065,"4: small metro","East South Central",15256,170,6095,8886,43,51,0,0,0,0,0,0,0,0
1067,"4: small metro","East South Central",17252,429,11788,4891,0,0,0,0,0,0,0,0,0,0
1069,"4: small metro","East South Central",103534,3338,70069,27359,383,827,0,0,3,0,0,0,0,3
1071,"5: micropolitan","East South Central",52860,1450,47279,1635,582,274,0,0,3,0,0,0,0,3
1073,"1: large central metro","East South Central",659026,24991,336064,279086,1515,10533,12,0,6,0,0,0,4,22
1075,"6: noncore","East South Central",14133,196,12154,1565,40,3,0,0,0,0,0,0,0,0
1077,"4: small metro","East South Central",92737,2229,78773,9239,405,681,0,0,5,0,0,0,0,5
1079,"4: small metro","East South Central",33586,697,25703,3848,1826,37,0,0,2,0,0,0,0,2
1081,"4: small metro","East South Central",150982,5615,102965,35095,231,4973,1,0,4,0,0,0,1,6
1083,"3: medium metro","East South Central",88805,5137,68756,11426,470,1144,1,0,0,0,0,0,0,1
1085,"3: medium metro","East South Central",10742,36,2716,7955,0,0,0,0,0,0,0,0,0,0
1087,"6: noncore","East South Central",20018,313,3220,16271,62,43,1,0,1,0,0,0,0,2
1089,"3: medium metro","East South Central",346438,16214,227290,83437,2039,8989,3,0,6,0,0,0,10,19
