"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
40.3802152,-104.7766048,"081230014051004","08123","08","CO","OK"
41.762819,-87.6856267,"170316610003003","17031","17","IL","OK"
41.762819,-87.6856267,"170316610003003","17031","17","IL","OK"
39.1547738,-94.7061857,"202090446013006","20209","20","KS","OK"
40.9189059,-74.1631988,"340311815002009","34031","34","NJ","OK"
35.0798939,-106.7103735,"350010024023017","35001","35","NM","OK"
38.9752273,-119.9351403,"320050017001002","32005","32","NV","OK"
36.885166,-76.1809935,"518100402001041","51810","51","VA","OK"
34.0811167,-118.0654817,"060374322022010","06037","06","CA","OK"
33.7509209,-117.0241165,"060650435042035","06065","06","CA","OK"
34.1653815,-118.3874549,"060371252002024","06037","06","CA","OK"
35.1279212,-106.6976842,"350010047291013","35001","35","NM","OK"
25.9140449,-97.4933999,"480610135002024","48061","48","TX","OK"
34.159169,-118.3026628,"060373016021037","06037","06","CA","OK"
38.8078739,-90.8370953,"291833120952016","29183","29","MO","OK"
42.3251642,-122.9006663,"410290008001039","41029","41","OR","OK"
39.9941424,-82.9261907,"390490026003005","39049","39","OH","OK"
35.1452459,-97.164675,"400272024023055","40027","40","OK","OK"
30.054693,-94.0999668,"482450024004005","48245","48","TX","OK"
33.817947,-118.0146498,"060591102023001","06059","06","CA","OK"
33.9401168,-117.4896161,"060650411022006","06065","06","CA","OK"
34.1084907,-117.3033934,"060710048001001","06071","06","CA","OK"
34.0846468,-118.1772195,"060372015032005","06037","06","CA","OK"
39.9573534,-104.9549556,"080010085441009","08001","08","CO","OK"
33.865435,-112.1358012,"040136102003014","04013","04","AZ","OK"
25.990763,-80.1455307,"120111002011002","12011","12","FL","OK"
39.611669,-82.4287049,"390739649001075","39073","39","OH","OK"
29.8702039,-95.6869895,"482015421022012","48201","48","TX","OK"
29.3214891,-98.4777922,"480291519001001","48029","48","TX","OK"
36.9555555,-113.7949907,"040159501002106","04015","04","AZ","OK"
26.2431256,-80.1540515,"120110306001005","12011","12","FL","OK"
27.7771941,-82.6998842,"121030221001016","12103","12","FL","OK"
29.9617079,-90.1335684,"220510249002032","22051","22","LA","OK"
35.221164,-101.83617,"483750148002076","48375","48","TX","OK"
38.0533838,-102.1317837,"080990006002026","08099","08","CO","OK"
30.207554,-81.380229,"121090207051000","12109","12","FL","OK"
30.0039459,-90.04009,"220710017022015","22071","22","LA","OK"
38.97987,-94.476543,"290950128044001","29095","29","MO","OK"
40.6575545,-73.8808964,"360471078001013","36047","36","NY","OK"
28.604695,-81.294053,"120950164071007","12095","12","FL","OK"
40.5925086,-95.668179,"190719703002119","19071","19","IA","OK"
38.183619,-85.816164,"211110125012000","21111","21","KY","OK"
38.1882712,-85.8102677,"211110126031010","21111","21","KY","OK"
39.0049498,-81.9802039,"391059645002101","39105","39","OH","OK"
32.9294958,-97.3638156,"484391141031054","48439","48","TX","OK"
47.3163238,-122.372255,"530330303052014","53033","53","WA","OK"
37.3424996,-121.9690131,"060855055002009","06085","06","CA","OK"
30.2622151,-81.7808019,"120310127041001","12031","12","FL","OK"
45.8311406,-108.3861959,"301110008003008","30111","30","MT","OK"
30.6103169,-95.4838112,"484717902001065","48471","48","TX","OK"
35.4942753,-93.8367967,"050479502005033","05047","05","AR","OK"
34.0489109,-117.2911604,"060710071041000","06071","06","CA","OK"
41.0855345,-81.4903749,"391535011001050","39153","39","OH","OK"
32.3063664,-102.5424901,"480039503001070","48003","48","TX","OK"
29.338375,-95.567364,"480396619002069","48039","48","TX","OK"
34.7393379,-92.33373,"051190018001014","05119","05","AR","OK"
38.6789906,-121.3810217,"060670074022019","06067","06","CA","OK"
29.885389,-90.1317054,"220510277012006","22051","22","LA","OK"
38.7008404,-90.2442213,"295101074003002","29510","29","MO","OK"
38.3500066,-81.7400478,"540390131002008","54039","54","WV","OK"
32.2306476,-110.9857817,"040190011001002","04019","04","AZ","OK"
37.520683,-122.0099432,"060014446011027","06001","06","CA","OK"
37.520683,-122.0099432,"060014446011027","06001","06","CA","OK"
33.868785,-117.7465,"060590219053010","06059","06","CA","OK"
39.0908084,-94.5518134,"290950160001055","29095","29","MO","OK"
39.0908084,-94.5518134,"290950160001055","29095","29","MO","OK"
37.2885849,-121.8312023,"060855032171011","06085","06","CA","OK"
28.6654985,-81.5127314,"120950176003058","12095","12","FL","OK"
34.686379,-118.1490094,"060379007032003","06037","06","CA","OK"
42.5127984,-90.6744836,"190610006001001","19061","19","IA","OK"
30.391718,-88.9665735,"280470013003015","28047","28","MS","OK"
33.4522604,-97.0414976,"480970007002096","48097","48","TX","OK"
33.1953533,-92.74669,"051399504003019","05139","05","AR","OK"
33.1953533,-92.74669,"051399504003019","05139","05","AR","OK"
34.2103484,-118.4174307,"060371220002004","06037","06","CA","OK"
36.5630788,-119.6132613,"060190071002010","06019","06","CA","OK"
40.0108665,-90.435718,"170179604002051","17017","17","IL","OK"
42.3267151,-122.8880048,"410290002023001","41029","41","OR","OK"
32.7486139,-96.6524721,"481130119002002","48113","48","TX","OK"
34.0381561,-118.1470392,"060374827013000","06037","06","CA","OK"
35.401794,-119.459706,"060290037001013","06029","06","CA","OK"
33.843533,-84.1386707,"131350504263002","13135","13","GA","OK"
39.0444274,-95.8154919,"201770036072017","20177","20","KS","OK"
33.2767652,-111.8415029,"040138120001000","04013","04","AZ","OK"
33.4071998,-111.6327379,"040134226302025","04013","04","AZ","OK"
37.5190489,-121.9551175,"060014430011007","06001","06","CA","OK"
37.5190489,-121.9551175,"060014430011007","06001","06","CA","OK"
39.4364839,-76.5969046,"240054085021036","24005","24","MD","OK"
40.2556764,-103.6494749,"080870007002041","08087","08","CO","OK"
42.1621148,-85.8486013,"261590110024038","26159","26","MI","OK"
45.5185464,-122.6765454,"410510106001054","41051","41","OR","OK"
33.7839213,-118.418806,"060376703263014","06037","06","CA","OK"
40.687251,-73.87197,"360471182011001","36047","36","NY","OK"
36.0661339,-95.9757901,"401430076081005","40143","40","OK","OK"
33.3593399,-94.090668,"480370111002026","48037","48","TX","OK"
34.2631367,-118.9211714,"061110076072025","06111","06","CA","OK"
45.5379273,-122.4539745,"410510101002011","41051","41","OR","OK"
33.5896002,-111.7874351,"040132168481000","04013","04","AZ","OK"
29.0430067,-81.9293988,"120830007011030","12083","12","FL","OK"
42.2692831,-89.0795679,"172010008001041","17201","17","IL","OK"
38.7832712,-90.052935,"171194019032074","17119","17","IL","OK"
33.0697041,-112.0454968,"040210017031010","04021","04","AZ","OK"
38.9410437,-77.0019644,"110010095013005","11001","11","DC","OK"
40.690789,-73.922931,"360470397003000","36047","36","NY","OK"
37.3042887,-81.2570063,"540550017002018","54055","54","WV","OK"
42.3874689,-82.9466439,"261635020001020","26163","26","MI","OK"
32.9387859,-96.6626092,"481130190213021","48113","48","TX","OK"
31.3523909,-85.3374195,"010670305003013","01067","01","AL","OK"
34.962261,-120.435738,"060830022053009","06083","06","CA","OK"
41.5386378,-87.4800442,"180890405013004","18089","18","IN","OK"
39.2625359,-76.666883,"245102501032032","24510","24","MD","OK"
39.7621086,-74.3267105,"340297340011081","34029","34","NJ","OK"
47.0034308,-122.5432097,"530530730015017","53053","53","WA","OK"
34.461353,-114.263842,"040159534021037","04015","04","AZ","OK"
34.699588,-118.1329101,"060379006062025","06037","06","CA","OK"
41.62037,-87.5271719,"170318260001032","17031","17","IL","OK"
36.1823293,-115.2159641,"320030034235001","32003","32","NV","OK"
35.8709774,-95.180897,"400219777004140","40021","40","OK","OK"
40.8883378,-73.8517116,"360050404003000","36005","36","NY","OK"
30.602473,-88.072982,"010970018002023","01097","01","AL","OK"
33.6520162,-85.826497,"010150008001094","01015","01","AL","OK"
44.650385,-84.7057164,"260399603003103","26039","26","MI","OK"
41.5654333,-71.2846688,"440050401032014","44005","44","RI","OK"
33.9138285,-98.4681662,"484850113001009","48485","48","TX","OK"
29.641549,-95.51714,"482014236004006","48201","48","TX","OK"
35.2423191,-101.6689776,"483750144012029","48375","48","TX","OK"
32.295468,-81.40353,"131030302033014","13103","13","GA","OK"
32.3580257,-90.0126947,"281210202063001","28121","28","MS","OK"
38.5298575,-121.4448405,"060670031023007","06067","06","CA","OK"
37.9964229,-121.3054564,"060770033123000","06077","06","CA","OK"
37.82483,-97.8642015,"201550014003198","20155","20","KS","OK"
33.6107582,-112.1337748,"040131040004005","04013","04","AZ","OK"
35.9742227,-105.3300057,"350339552003008","35033","35","NM","OK"
32.9615481,-96.7238789,"481130190381064","48113","48","TX","OK"
31.8637355,-97.307451,"482179605001150","48217","48","TX","OK"
36.7503197,-119.7894035,"060190006004002","06019","06","CA","OK"
41.4454298,-74.4217877,"360710151001017","36071","36","NY","OK"
47.7441979,-122.6552149,"530350905011001","53035","53","WA","OK"
40.8792148,-79.8948301,"420199029001063","42019","42","PA","OK"
38.4753513,-77.9947475,"510479303002017","51047","51","VA","OK"
44.7545126,-108.7493564,"560299652001056","56029","56","WY","OK"
33.43984,-117.617333,"060590421131004","06059","06","CA","OK"
30.539888,-84.5518618,"120390207022039","12039","12","FL","OK"
26.6650517,-80.0951925,"120990038002009","12099","12","FL","OK"
35.2003107,-89.9043715,"471570205422013","47157","47","TN","OK"
33.7552908,-84.2770562,"130890229003023","13089","13","GA","OK"
41.948883,-88.003345,"170438401041008","17043","17","IL","OK"
41.7514074,-87.5762742,"170314605007004","17031","17","IL","OK"
35.8929376,-78.7300652,"371830537241022","37183","37","NC","OK"
29.8109147,-95.4103247,"482015115006005","48201","48","TX","OK"
