"fips","id","pred.race"
"08001",14211,NA
"08001",11303,NA
"08001",16168,NA
"08001",23463,"latino"
"08001",16882,"white"
"08001",12246,"white"
"08001",10937,NA
"08001",18825,NA
"08001",22523,"latino"
"08001",13906,"latino"
"08001",23415,"latino"
"08001",17448,"white"
"08001",13336,"latino"
"08001",19468,"latino"
"08001",23638,NA
"08001",13999,NA
"08001",20889,"latino"
"08001",18659,"latino"
"08001",17292,NA
"08001",19467,"white"
"08001",13972,"latino"
"08001",17792,NA
"08001",17595,NA
"08001",11097,"latino"
"08001",20868,"latino"
"08001",20222,"white"
"08001",18223,NA
"08003",13573,"latino"
"08005",19336,"white"
"08005",11087,"white"
"08005",23316,"white"
"08005",20453,NA
"08005",23191,NA
"08005",16208,"latino"
"08005",13765,"white"
"08005",15626,"black"
"08005",16993,"latino"
"08005",11270,"black"
"08005",15805,NA
"08005",14610,"white"
"08005",16950,"asian"
"08005",12032,NA
"08005",17308,NA
"08005",12198,"latino"
"08005",17648,"white"
"08013",16435,"white"
"08013",17689,"white"
"08013",18276,NA
"08013",16012,"asian"
"08013",13748,NA
"08013",13882,NA
"08013",18188,"white"
"08013",12456,NA
"08013",16639,"latino"
"08014",12640,NA
"08015",12848,"white"
"08031",17005,"latino"
"08031",14745,"latino"
"08031",17317,"latino"
"08031",16956,"latino"
"08031",17114,NA
"08031",13942,"latino"
"08031",18059,NA
"08031",22100,"latino"
"08031",12254,"latino"
"08031",16929,"latino"
"08031",14741,"latino"
"08031",20872,"latino"
"08031",14909,NA
"08031",23314,"black"
"08031",12004,"white"
"08031",17543,NA
"08031",18125,"latino"
"08031",13243,"black"
"08031",12319,"latino"
"08031",11647,NA
"08031",15664,"latino"
"08031",13431,NA
"08031",17046,NA
"08031",16359,"latino"
"08031",12786,NA
"08031",15329,"latino"
"08031",18409,"latino"
"08031",18141,NA
"08035",18150,"white"
"08035",23270,"latino"
"08035",12154,"white"
"08035",23011,"white"
"08035",23540,"white"
"08035",12701,"white"
"08037",14458,"latino"
"08041",19166,"latino"
"08041",18338,"white"
"08041",14877,NA
"08041",11076,"black"
"08041",12069,"white"
"08041",21964,"black"
"08041",16837,"white"
"08041",18771,NA
"08041",23398,NA
"08041",16885,"white"
"08041",17814,"black"
"08041",12133,"white"
"08041",17670,NA
"08041",13682,NA
"08041",16699,NA
"08041",19564,NA
"08041",21775,"asian"
"08041",23721,NA
"08041",11822,NA
"08043",20447,"white"
"08043",20448,"white"
"08043",15474,"latino"
"08043",15986,"white"
"08043",20748,"white"
"08045",15717,"white"
"08049",12575,"white"
"08059",17379,"white"
"08059",23699,"latino"
"08059",22764,"white"
"08059",13909,NA
"08059",14038,NA
"08059",23624,"latino"
"08059",11757,NA
"08059",17590,NA
"08059",12003,NA
"08059",11787,"latino"
"08059",22517,"white"
"08059",12057,"white"
"08059",12880,"white"
"08067",11321,"latino"
"08069",20873,NA
"08069",15184,"latino"
"08069",16391,"white"
"08069",17709,"white"
"08069",22619,NA
"08069",18116,NA
"08069",17194,"latino"
"08069",20869,"white"
"08069",16587,"white"
"08069",20527,"white"
"08069",12892,"white"
"08069",11938,"white"
"08069",23495,"latino"
"08069",20173,NA
"08071",22876,"latino"
"08071",16023,NA
"08077",18416,NA
"08077",16126,"black"
"08077",18164,"latino"
"08077",14999,NA
"08077",13832,"latino"
"08077",12952,NA
"08081",15816,NA
"08083",20890,"white"
"08083",13333,NA
"08085",12558,NA
"08085",18420,"white"
"08087",13303,"latino"
"08087",11002,NA
"08089",15215,"latino"
"08093",17325,"white"
"08093",17861,"white"
"08099",10950,"latino"
"08101",17768,"latino"
"08101",17454,"latino"
"08101",12176,"latino"
"08101",23661,"latino"
"08101",15658,"latino"
"08101",22745,"latino"
"08101",15415,"latino"
"08101",12150,"latino"
"08101",18820,NA
"08101",14146,"latino"
"08101",13910,"latino"
"08101",11758,"latino"
"08101",17386,"latino"
"08101",21985,"white"
"08101",11384,"latino"
"08101",11383,"latino"
"08101",23421,"latino"
"08101",11586,NA
"08109",11584,"white"
"08119",12282,"white"
"08119",15323,NA
"08123",14657,"latino"
"08123",11571,"latino"
"08123",14948,"latino"
"08123",16255,"latino"
"08123",23583,NA
"08123",11491,"latino"
"08123",15584,"latino"
"08123",17335,NA
"08123",17649,"latino"
"08123",14529,"latino"
"08123",23188,"latino"
"08123",23510,"latino"
"08123",10916,"white"
"08123",16912,"latino"
"17001",13384,"white"
"17001",15810,"black"
"17001",17692,"white"
"17007",12276,NA
"17007",12275,"white"
"17007",13231,"white"
"17017",10987,NA
"17019",12168,"black"
"17019",16467,NA
"17021",14857,NA
"17027",18379,NA
"17031",14453,NA
"17031",14033,"latino"
"17031",12507,"latino"
"17031",21131,"latino"
"17031",22326,"latino"
"17031",18637,"latino"
"17031",13102,"latino"
"17031",16711,"black"
"17031",15238,"black"
"17031",22060,"black"
"17031",14855,"black"
"17031",14336,"latino"
"17031",13030,"black"
"17031",17065,"black"
"17031",17063,"black"
"17031",14481,"black"
"17031",12633,"black"
"17031",18497,"black"
"17031",14565,"black"
"17031",17406,"black"
"17031",18483,"black"
"17031",15011,"black"
"17031",15001,"black"
"17031",18985,NA
"17031",11178,"black"
"17031",22928,"black"
"17031",20856,"black"
"17031",12966,"black"
"17031",22309,"black"
"17031",16580,"latino"
"17031",17948,"black"
"17031",17810,"black"
"17031",15214,"black"
"17031",20463,"black"
"17031",23389,"black"
"17031",12024,NA
"17031",16355,"black"
"17031",13340,"black"
"17031",15550,"black"
"17031",16257,"black"
"17031",12208,"black"
"17031",17988,"black"
"17031",15994,"black"
"17031",12755,"black"
"17031",14268,"black"
"17031",15698,"black"
"17031",11965,"black"
"17031",11057,"black"
"17031",15532,"black"
"17031",14060,"black"
"17031",13588,"black"
"17031",19641,"black"
"17031",13574,"black"
"17031",16348,"black"
"17031",11811,"black"
"17031",17653,"black"
"17031",12101,"black"
"17031",22061,"black"
"17031",14756,"black"
"17031",14755,"black"
"17031",18118,"black"
"17031",14329,"black"
"17031",18735,"black"
"17031",14330,"black"
"17031",17869,"black"
"17031",11588,"black"
"17031",17868,"black"
"17031",14970,"black"
"17031",21875,NA
"17031",17367,"latino"
"17031",14383,"latino"
"17031",17637,"other"
"17031",16399,"latino"
"17031",14818,"latino"
"17031",13560,"latino"
"17031",12109,"black"
"17031",14318,"latino"
"17031",13172,"latino"
"17031",10917,"black"
"17031",10922,"black"
"17031",11685,"black"
"17031",18471,"black"
"17031",15078,"black"
"17031",18449,"black"
"17031",14546,"black"
"17031",17201,"black"
"17031",12961,"black"
"17031",17002,"latino"
"17031",20274,"black"
"17031",15242,"black"
"17031",17158,"black"
"17031",12008,"black"
"17031",16559,"black"
"17031",16560,"black"
"17031",11552,"black"
"17031",16342,"black"
"17031",14953,"black"
"17031",14763,"black"
"17031",14410,"black"
"17031",22990,"black"
"17031",18393,"white"
"17031",15459,"white"
"17031",15599,NA
"17031",18657,"white"
"17031",15091,"latino"
"17031",21486,"white"
"17031",13828,NA
"17031",11337,"latino"
"17031",13843,NA
"17031",16357,NA
"17031",18810,"latino"
"17031",18186,"black"
"17031",11536,"latino"
"17031",18613,"latino"
"17031",11688,"black"
"17031",22074,"black"
"17031",15263,"black"
"17031",11601,NA
"17031",20531,"latino"
"17031",11126,NA
"17031",21389,"black"
"17031",13504,"black"
"17031",22205,"black"
"17031",12683,"black"
"17031",11024,"black"
"17031",11264,"black"
"17031",23483,"black"
"17031",17838,"black"
"17031",11238,"black"
"17031",14917,"black"
"17031",11834,"black"
"17031",22067,"black"
"17031",16119,"black"
"17031",12821,"black"
"17031",14353,"black"
"17031",18263,"black"
"17031",18406,"asian"
"17031",17704,"black"
"17031",12925,"white"
"17031",12519,NA
"17031",12302,"black"
"17031",15352,"black"
"17031",17694,"black"
"17031",13161,NA
"17031",17431,"black"
"17031",15194,"latino"
"17031",14752,"latino"
"17031",12739,"black"
"17031",12738,"black"
"17031",13448,"black"
"17031",13044,"black"
"17031",13851,"black"
"17031",23491,"black"
"17031",12497,"black"
"17031",18704,"black"
"17031",13379,NA
"17031",12748,"black"
"17031",11290,NA
"17031",14187,"black"
"17031",16736,"black"
"17031",17536,"black"
"17031",11164,"black"
"17031",15233,"latino"
"17031",15232,"latino"
"17031",20877,"black"
"17031",18899,NA
"17037",14008,"white"
"17039",17389,"white"
"17041",15608,NA
"17043",11053,NA
"17043",11921,"white"
"17043",18759,"white"
"17043",18638,"black"
"17043",16749,"latino"
"17043",14566,NA
"17043",20263,"white"
"17055",13068,"white"
"17055",17539,"latino"
"17067",13552,"white"
"17073",15388,NA
"17077",13774,"white"
"17083",20620,"white"
"17085",19632,"white"
"17089",14967,NA
"17089",14555,"latino"
"17089",12054,"white"
"17089",12055,"white"
"17089",21379,NA
"17089",13071,"white"
"17089",18275,"latino"
"17089",11136,"latino"
"17089",20242,"white"
"17093",18652,NA
"17097",17100,"white"
"17097",15939,"black"
"17097",17554,"white"
"17097",11580,"white"
"17097",18565,NA
"17097",18152,NA
"17097",11068,NA
"17097",15058,NA
"17097",14320,"white"
"17097",14170,NA
"17097",15311,NA
"17107",14396,"white"
"17111",12764,"white"
"17113",11262,"latino"
"17113",17343,"white"
"17113",12494,"black"
"17115",17629,NA
"17115",12115,NA
"17117",19334,"white"
"17119",14777,"white"
"17119",14789,NA
"17119",23686,"white"
"17119",15975,"latino"
"17119",11009,"white"
"17119",12188,"white"
"17127",15933,NA
"17127",18155,"white"
"17133",21113,"white"
"17139",15012,"white"
"17141",17511,NA
"17143",23707,"black"
"17143",22514,NA
"17143",11639,"white"
"17151",17666,"white"
"17161",15930,NA
"17163",17913,"black"
"17163",11876,"black"
"17163",18199,"black"
"17163",11430,"latino"
"17163",20887,NA
"17163",17820,"black"
"17163",13233,NA
"17163",17703,"black"
"17163",18500,"black"
"17163",15244,"black"
"17163",12783,"white"
"17163",16726,NA
"17163",18375,"black"
"17167",18749,NA
"17167",13169,"white"
"17167",13170,"black"
"17167",13153,"black"
"17167",11331,NA
"17167",17995,"white"
"17171",12688,"white"
"17177",18128,"black"
"17179",14656,"white"
"17179",18062,"white"
"17179",16240,"white"
"17183",14116,NA
"17183",12652,"white"
"17195",23687,"white"
"17195",13730,"white"
"17197",18100,NA
"17197",11196,"latino"
"17197",15794,"black"
"17197",17124,"latino"
"17199",17122,"white"
"17199",16038,NA
"17199",11470,NA
"17201",12411,"white"
"17201",23273,NA
"17201",13296,NA
"17201",14974,NA
"17201",11010,NA
"17201",16107,NA
"17201",11980,"black"
"17201",11907,"black"
"17201",17245,NA
"17201",17974,"white"
"20007",18545,NA
"20007",22769,"white"
"20009",15032,"white"
"20013",14156,NA
"20015",17391,NA
"20015",19822,"white"
"20015",13550,NA
"20017",19844,"latino"
"20021",15306,"white"
"20035",14586,"white"
"20037",17665,"white"
"20039",14174,"white"
"20041",12796,"white"
"20051",18086,"white"
"20051",13761,"latino"
"20051",11625,"white"
"20055",22758,"latino"
"20059",14991,NA
"20061",11509,"latino"
"20061",21874,NA
"20061",12581,"black"
"20073",13554,"white"
"20079",17857,NA
"20079",19173,"latino"
"20079",14955,"white"
"20079",17333,"white"
"20079",12144,"white"
"20083",15952,"white"
"20091",15527,"white"
"20091",17109,"latino"
"20091",13520,NA
"20091",12523,"white"
"20091",12076,NA
"20091",23373,NA
"20091",18488,NA
"20091",13321,NA
"20091",22629,NA
"20091",23652,"white"
"20091",12267,NA
"20091",22101,"black"
"20091",15900,"white"
"20091",20386,"white"
"20095",16719,"white"
"20103",14815,"black"
"20103",21402,"latino"
"20111",14659,"latino"
"20113",13695,"white"
"20113",17547,"white"
"20113",14602,"white"
"20113",22204,"white"
"20115",20739,"white"
"20121",11878,"white"
"20125",14589,"white"
"20133",14894,"white"
"20133",21108,"white"
"20139",16087,"white"
"20139",16791,"white"
"20145",21968,"white"
"20155",18525,NA
"20155",16270,"white"
"20155",23494,"latino"
"20155",11036,"white"
"20155",18072,"white"
"20161",11190,NA
"20163",18410,"white"
"20169",17167,"black"
"20169",11615,NA
"20169",11854,"black"
"20169",11369,"white"
"20169",15591,"white"
"20173",13608,"latino"
"20173",21805,"latino"
"20173",12862,"latino"
"20173",15583,"latino"
"20173",11559,"black"
"20173",18561,"black"
"20173",14787,NA
"20173",14788,"latino"
"20173",14333,"white"
"20173",15271,NA
"20173",14013,NA
"20173",11059,"asian"
"20173",12450,"latino"
"20173",11129,"black"
"20173",12582,NA
"20173",11237,"black"
"20173",11189,"white"
"20173",14104,NA
"20173",13091,NA
"20173",14973,NA
"20173",16491,"latino"
"20173",16490,"white"
"20173",16489,"white"
"20173",19479,NA
"20173",14753,"black"
"20173",17038,NA
"20173",12741,NA
"20173",16551,NA
"20173",18145,NA
"20173",11355,NA
"20173",15397,"white"
"20177",12122,"latino"
"20177",15490,"latino"
"20177",17377,NA
"20177",22628,"black"
"20177",16747,"black"
"20177",23381,NA
"20177",23380,NA
"20177",13180,"white"
"20177",15963,NA
"20177",17294,NA
"20177",17583,"black"
"20177",11718,NA
"20177",10994,NA
"20177",16859,NA
"20177",17212,NA
"20193",16392,"white"
"20209",16161,"black"
"20209",14533,"black"
"20209",15327,"black"
"20209",11127,"latino"
"20209",16534,"latino"
"20209",14754,"black"
"20209",13087,"black"
"20209",16570,NA
"20209",13702,"latino"
"20209",14088,"latino"
"20209",16381,NA
"20209",14497,"black"
"20209",14325,"latino"
"20209",10921,NA
"20209",23288,"black"
"20209",23289,"black"
"20209",11547,"latino"
"20209",15728,"latino"
"20209",11546,"latino"
"20209",11807,NA
"20209",22430,"latino"
"34001",22077,"black"
"34001",22202,"black"
"34001",15072,"black"
"34001",16324,"black"
"34001",14251,NA
"34001",18157,"other"
"34001",12684,"latino"
"34001",18260,"white"
"34003",22149,"latino"
"34003",17895,NA
"34003",21394,"latino"
"34003",16226,"latino"
"34003",16145,"latino"
"34003",17494,NA
"34003",20170,"black"
"34003",15817,"asian"
"34003",12040,NA
"34003",15197,"latino"
"34003",16173,NA
"34003",22197,"white"
"34003",15098,NA
"34005",23490,NA
"34005",13164,"white"
"34005",22198,"white"
"34005",23569,"white"
"34005",23570,"white"
"34005",23572,"white"
"34007",22143,"black"
"34007",16303,"latino"
"34007",18679,"latino"
"34007",22191,"white"
"34007",22144,"black"
"34007",22151,"asian"
"34007",22150,"asian"
"34007",12140,"black"
"34007",23632,"white"
"34007",14876,"black"
"34007",16933,"latino"
"34007",15657,NA
"34007",22199,NA
"34009",22187,NA
"34011",18400,"white"
"34011",18691,NA
"34011",18897,"black"
"34011",15569,"black"
"34011",22324,NA
"34011",22323,"black"
"34011",23660,"black"
"34011",17157,"white"
"34011",15926,"black"
"34011",15924,"black"
"34011",22190,NA
"34011",17562,"latino"
"34013",18253,"black"
"34013",18254,"latino"
"34013",13669,"latino"
"34013",22193,"black"
"34013",22200,"black"
"34013",23192,"black"
"34013",23193,"black"
"34013",20037,"black"
"34013",18463,"black"
"34013",21393,"black"
"34013",22145,"black"
"34013",19686,"black"
"34013",12031,"black"
"34013",19597,"black"
"34013",16590,"black"
"34013",12479,"latino"
"34013",22194,"black"
"34013",20056,"black"
"34013",12245,"black"
"34013",11721,"black"
"34013",13684,"black"
"34013",22142,"black"
"34013",15621,"white"
"34013",15620,"white"
"34013",13080,"latino"
"34013",21973,"white"
"34013",22105,"black"
"34015",22148,"white"
"34015",18569,"white"
"34015",12195,"white"
"34015",15559,"white"
"34017",14797,"black"
"34017",14701,"black"
"34017",12470,NA
"34017",22189,"latino"
"34017",14634,"black"
"34017",22196,"latino"
"34017",21802,"latino"
"34017",16072,NA
"34017",16073,NA
"34019",20265,"white"
"34021",12776,NA
"34021",20223,"black"
"34021",16244,"black"
"34021",18126,"black"
"34021",15350,"black"
"34021",13259,"black"
"34021",18064,NA
"34021",21467,"latino"
"34021",13698,NA
"34021",15929,NA
"34023",11123,"latino"
"34023",13793,"latino"
"34023",17524,"black"
"34023",13472,"latino"
"34023",12407,NA
"34023",15618,"white"
"34023",13727,NA
"34023",19638,NA
"34023",16738,NA
"34025",16160,"white"
"34025",22988,"white"
"34025",16248,"black"
"34025",16605,NA
"34025",21386,"white"
"34027",22188,"latino"
"34027",21510,NA
"34029",16555,"white"
"34029",21982,"white"
"34029",17235,"white"
"34029",18000,"white"
"34029",19487,NA
"34029",22192,NA
"34029",16313,NA
"34029",22186,"white"
"34029",16909,"white"
"34029",17932,"white"
"34031",14583,NA
"34031",14007,"white"
"34031",22195,"latino"
"34031",13911,"black"
"34031",19830,"latino"
"34031",10920,"black"
"34031",19486,"latino"
"34031",17827,"latino"
"34035",22147,"white"
"34035",16350,"black"
"34035",16349,NA
"34037",22201,"white"
"34037",16196,"white"
"34039",17908,"black"
"34039",16009,"black"
"34039",17657,NA
"34039",20258,"white"
"34039",23496,NA
"34039",22991,"black"
"34039",16387,"black"
"34039",14728,"latino"
"34041",15380,"white"
"34041",19333,"white"
"35001",13246,"latino"
"35001",19904,"black"
"35001",12448,NA
"35001",12520,NA
"35001",17713,NA
"35001",15119,"latino"
"35001",18662,"latino"
"35001",17210,"latino"
"35001",15612,"white"
"35001",12100,"white"
"35001",17127,NA
"35001",11155,NA
"35001",17051,"latino"
"35001",23601,"latino"
"35001",14387,"black"
"35001",14825,"black"
"35001",14192,NA
"35001",22951,"latino"
"35001",17696,"latino"
"35001",22952,"black"
"35001",23453,"black"
"35001",16451,"latino"
"35001",13811,NA
"35001",14532,"latino"
"35001",11456,NA
"35001",23350,"latino"
"35001",23349,"other"
"35001",10915,NA
"35001",14238,NA
"35001",14936,"latino"
"35001",21663,"latino"
"35001",13602,NA
"35001",21776,NA
"35001",23317,"white"
"35001",13052,"white"
"35001",17588,NA
"35001",23685,"white"
"35001",13494,"latino"
"35001",13493,"latino"
"35001",13208,"latino"
"35001",16659,"latino"
"35001",21674,"latino"
