age,gender,race,city,state,county,year,fips
1,Male,African-American/Black,Brooklyn,NY,kings,2013,36047
1,Male,Hispanic/Latino,Mission,TX,hidalgo,2013,48215
1,Male,African-American/Black,Chicago,IL,cook,2015,17031
1,Male,African-American/Black,Baltimore,MD,baltimore city,2015,24510
1,Male,European-American/White,Wilmington,NC,NA,2017,37129
2,Male,African-American/Black,Collins,MS,covington,2016,28031
2,Female,European-American/White,North Versailles,PA,allegheny,2016,42003
3,Female,African-American/Black,Decatur,GA,de kalb,2013,13089
3,Male,African-American/Black,San Antonio,TX,bexar,2013,48029
3,Female,Hispanic/Latino,Mission,TX,hidalgo,2013,48215
3,Male,European-American/White,Forest,MS,scott,2014,28123
3,Female,African-American/Black,Detroit,MI,wayne,2015,26163
3,Female,European-American/White,Conroe,TX,montgomery,2016,48339
3,Female,European-American/White,Kiln,MS,hancock,2016,28045
4,Female,Hispanic/Latino,Manhattan,NY,new york,2013,36061
4,Male,European-American/White,St. Louis,MO,st. louis,2016,29189
4,Male,African-American/Black,Branford,CT,new haven,2016,9009
5,Male,European-American/White,Boulder City,NV,clark,2013,32003
5,Male,Hispanic/Latino,Mission,TX,hidalgo,2013,48215
5,Female,European-American/White,Spanish Fork,UT,utah,2014,49049
5,Female,European-American/White,Leavenworth,KS,leavenworth,2014,20103
5,Male,European-American/White,Tulsa,OK,tulsa,2015,40143
5,Male,African-American/Black,Lantana,FL,palm beach,2016,12099
5,Male,European-American/White,St. Louis,MO,st. louis,2016,29189
6,Male,Hispanic/Latino,Mission,TX,hidalgo,2013,48215
6,Male,African-American/Black,Detroit,MI,wayne,2015,26163
6,Male,European-American/White,Marksville,LA,avoyelles,2015,22009
6,Male,African-American/Black,Atlanta,GA,fulton,2016,13121
6,Male,European-American/White,Albuquerque,NM,bernalillo,2017,35001
7,Male,African-American/Black,San Antonio,TX,bexar,2013,48029
7,Male,European-American/White,Spanish Fork,UT,utah,2014,49049
7,Female,Hispanic/Latino,Kansas City,KS,wyandotte,2014,20209
9,Male,European-American/White,Greenwood,SC,greenwood,2013,45047
9,Female,African-American/Black,Brooklyn,NY,kings,2014,36047
9,Male,Race unspecified,Watchung,NJ,NA,2015,34035
10,Male,European-American/White,Franklinville,NJ,gloucester,2014,34015
10,Male,European-American/White,Latham,NY,albany,2016,36001
10,Male,Race unspecified,Tucson,AZ,NA,2013,4019
11,Male,European-American/White,Greenwood,SC,greenwood,2013,45047
11,Male,African-American/Black,Chicago,IL,cook,2013,17031
11,Male,Hispanic/Latino,Conroe,TX,montgomery,2016,48339
12,Female,Hispanic/Latino,Premont,TX,jim wells,2013,48249
12,Female,Asian/Pacific Islander,Westminster,CA,orange,2014,6059
12,Female,African-American/Black,Baltimore,MD,baltimore city,2014,24510
12,Male,African-American/Black,Cleveland,OH,cuyahoga,2014,39035
12,Female,European-American/White,Duncannon,PA,perry,2016,42099
12,Male,African-American/Black,Atlanta,GA,fulton,2016,13121
13,Male,Hispanic/Latino,Stockton,CA,san joaquin,2013,6077
13,Male,Hispanic/Latino,Santa Rosa,CA,sonoma,2013,6097
13,Male,Hispanic/Latino,Dallas,TX,dallas,2014,48113
13,Male,European-American/White,Forest,MS,scott,2014,28123
13,Male,African-American/Black,Columbus,OH,franklin,2016,39049
13,Female,European-American/White,Hammond,IL,lake,2017,17097
13,Male,Race unspecified,Baltimore,MD,NA,2016,24510
14,Female,Hispanic/Latino,Houston,TX,harris,2013,48201
14,Male,European-American/White,Houston,TX,harris,2013,48201
14,Male,African-American/Black,Gary,IN,lake,2013,18089
14,Male,African-American/Black,McDonough,GA,henry,2013,13151
14,Male,African-American/Black,Bronx,NY,westchester,2013,36119
14,Male,African-American/Black,Far Rockaway,NY,queens,2013,36081
14,Male,African-American/Black,Fairfax,VA,fairfax,2013,51059
14,Male,European-American/White,Westminster,SC,oconee,2013,45073
14,Female,Hispanic/Latino,Antelope,CA,sacramento,2014,6067
14,Female,Hispanic/Latino,Detroit,MI,wayne,2014,26163
14,Male,Hispanic/Latino,Salt Lake City,UT,salt lake,2014,49035
14,Male,Hispanic/Latino,Chicago,IL,cook,2014,17031
14,Male,African-American/Black,Houma,LA,terrebonne,2014,22109
14,Male,Hispanic/Latino,Ashland,CA,alameda,2014,6001
14,Female,European-American/White,Kewanee,IL,henry,2014,17073
14,Male,European-American/White,Covington,LA,st. tammany,2015,22103
14,Female,European-American/White,Shiprock,NM,san juan,2015,35045
14,Male,European-American/White,Shady Point,OK,le flore,2015,40079
14,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2016,6037
14,Male,European-American/White,Kuna,ID,ada,2016,16001
14,Female,African-American/Black,Raleigh,NC,wake,2017,37183
14,Female,European-American/White,Alpine,TX,NA,2016,48043
15,Male,Hispanic/Latino,Stockton,CA,san joaquin,2013,6077
15,Female,Hispanic/Latino,Porterville,CA,tulare,2013,6107
15,Male,African-American/Black,Salisbury,MD,wicomico,2013,24045
15,Male,African-American/Black,Chicago,IL,cook,2013,17031
15,Male,African-American/Black,Chicago,IL,cook,2013,17031
15,Male,African-American/Black,Far Rockaway,NY,queens,2013,36081
15,Male,African-American/Black,Atlanta,GA,fulton,2013,13121
15,Male,African-American/Black,Atlanta,GA,fulton,2013,13121
15,Female,European-American/White,Sandston,VA,henrico,2014,51087
15,Male,Hispanic/Latino,Longview,TX,gregg,2014,48183
15,Male,African-American/Black,Opelousas,LA,st. landry,2014,22097
15,Male,Hispanic/Latino,League City,TX,galveston,2014,48167
15,Male,European-American/White,Cape Coral,FL,lee,2014,12071
15,Female,African-American/Black,Jackson,MS,hinds,2014,28049
15,Male,European-American/White,Pixley,CA,tulare,2014,6107
15,Male,African-American/Black,St. Paul,MN,ramsey,2014,27123
15,Male,Native American/Alaskan,Rapid City,SD,pennington,2015,46103
15,Male,European-American/White,Cocoa,FL,brevard,2015,12009
15,Male,African-American/Black,Indianapolis,IN,marion,2015,18097
15,Female,European-American/White,Shady Point,OK,le flore,2015,40079
15,Female,European-American/White,Cunningham,KS,kingman,2015,20095
15,Male,Hispanic/Latino,Homestead,FL,miami-dade,2015,12086
15,Male,European-American/White,Culver City,CA,los angeles,2015,6037
15,Male,African-American/Black,St. Louis,MO,st. louis city,2016,29510
15,Male,European-American/White,Orland,CA,glenn,2016,6021
15,Female,African-American/Black,Freeport,IL,stephenson,2016,17177
15,Male,Asian/Pacific Islander,Watsonville,CA,santa cruz,2016,6087
15,Male,African-American/Black,South Bend,IN,st. joseph,2017,18141
15,Male,African-American/Black,Louisville,KY,jefferson,2017,21111
15,Male,African-American/Black,Stockton,CA,san joaquin,2017,6077
15,Male,African-American/Black,Balch Springs,TX,dallas,2017,48113
15,Male,Hispanic/Latino,Kentwood,MI,NA,2017,26081
15,Male,Race unspecified,Killeen,TX,NA,2017,48027
15,Male,Race unspecified,Greenville,FL,NA,2017,12065
15,Male,Hispanic/Latino,Corry,PA,NA,2015,42049
15,Male,European-American/White,Hungry Horse,MT,NA,2015,30029
15,Female,Race unspecified,Peachland,NC,NA,2017,37007
15,Male,Race unspecified,Lumberton,NC,NA,2014,37155
16,Male,Hispanic/Latino,Vancouver,WA,clark,2013,53011
16,Female,European-American/White,Ocean Springs,MS,jackson,2013,28059
16,Male,African-American/Black,Brooklyn,NY,kings,2013,36047
