GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",55221,53781,41848,10236,230,534,8,79,846,54,792,1440,893,79,0,0,16,432,20,20,0,"Autauga County, Alabama",0,0,100,238,87,176,14,93,299,71,281,0,405,76,27,27,26,437,29,29,27
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",195121,186345,162153,18533,1094,1294,0,188,3083,485,2598,8776,6493,202,72,13,0,1682,314,253,61,"Baldwin County, Alabama",0,0,168,536,294,330,27,177,660,393,594,0,693,200,77,23,27,645,215,204,52
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",26932,25691,12454,12579,52,119,0,135,352,0,352,1241,302,16,0,125,0,793,5,5,0,"Barbour County, Alabama",0,0,137,202,43,115,21,142,151,21,151,0,168,16,21,176,21,215,9,9,21
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22604,22102,16840,4838,93,21,0,0,310,0,310,502,487,8,0,0,0,7,0,0,0,"Bibb County, Alabama",0,0,21,231,44,27,21,21,228,21,228,0,15,15,21,21,21,15,21,21,21
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57710,52730,50700,884,178,83,0,43,842,4,838,4980,4181,0,148,0,0,512,139,18,121,"Blount County, Alabama",0,0,56,117,103,67,27,56,185,9,181,0,317,27,188,27,27,272,116,29,115
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10678,10205,2372,7550,124,22,0,0,137,0,137,473,473,0,0,0,0,0,0,0,0,"Bullock County, Alabama",0,482,18,504,147,25,18,18,140,18,140,482,482,18,18,18,18,18,18,18,18
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20354,20114,10856,8924,13,81,0,23,217,0,217,240,167,37,0,0,0,36,0,0,0,"Butler County, Alabama",0,0,33,88,12,74,21,33,62,21,62,0,75,51,21,21,21,54,21,21,21
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",116648,112573,85184,23703,223,1000,7,23,2433,63,2370,4075,2431,192,0,0,0,1139,313,119,194,"Calhoun County, Alabama",0,0,83,393,107,142,11,22,405,79,403,0,423,144,27,27,27,425,194,120,174
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34079,33927,19522,13728,57,260,9,0,351,18,333,152,130,10,0,0,0,12,0,0,0,"Chambers County, Alabama",0,89,24,170,31,26,16,24,147,26,144,89,84,16,24,24,24,21,24,24,24
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26008,25617,23854,1236,144,72,4,0,307,5,302,391,313,45,0,16,0,17,0,0,0,"Cherokee County, Alabama",0,0,21,112,63,79,7,21,109,8,107,0,64,54,21,26,21,21,21,21,21
