"","division","ur.code","black.men","white.men","latino.men","tot.men","d.asian","d.black","d.latino","d.other","d.white","d.na","d.total","rate.black","rate.latino","rate.white","rate.tot"
"1","East North Central","1: large central metro",1085285,2663715,618066,4657104,1,166,23,0,59,3,252,2.49904446298341,0.607998738410222,0.361887807180718,0.884085565697253
"2","East North Central","2: large fringe metro",302289,3724779,331937,4571302,1,24,3,0,66,4,98,1.29717506988375,0.147664223444543,0.289503035059327,0.350264286125054
"3","East North Central","3: medium metro",264796,2309662,115673,2808393,0,46,5,2,56,1,110,2.83828568599414,0.70623250221906,0.39614054392672,0.639947724211703
"4","East North Central","4: small metro",138391,1699373,83039,2004087,2,16,2,0,41,1,62,1.88895595185665,0.393511637804816,0.394189306455569,0.505457697017095
"5","East North Central","5: micropolitan",66831,2019128,72217,2207853,0,4,2,0,48,2,56,0.977893878340116,0.452480896349532,0.388407029866447,0.414407463253611
"6","East North Central","6: noncore",31229,1064420,26235,1145058,0,1,3,3,30,0,37,0.523180583618978,1.86831405898651,0.460487583261412,0.527939229712356
"7","East South Central","1: large central metro",359426,618111,63252,1081305,0,38,3,0,23,4,68,1.72736375482522,0.774919675860229,0.60795447460772,1.02747295010836
"8","East South Central","2: large fringe metro",88130,798907,37168,947826,0,7,2,0,28,0,37,1.29772886781867,0.879165219857784,0.572626576664665,0.637797484449647
"9","East South Central","3: medium metro",341091,1234722,65736,1694779,2,32,2,1,58,4,99,1.53281384224968,0.497091591999424,0.767482537655075,0.954403044962127
"10","East South Central","4: small metro",124168,711113,32292,889525,0,17,1,0,53,7,78,2.23691216399741,0.505958331656047,1.21771862085121,1.43266991121699
"11","East South Central","5: micropolitan",190279,927073,34970,1174517,0,22,1,0,57,2,82,1.88904157478448,0.467212080235547,1.00454782677601,1.14068108725428
"12","East South Central","6: noncore",181038,886903,26353,1111385,0,12,0,1,57,3,73,1.08298190076141,0,1.05004624791292,1.07316876739033
"13","Middle Atlantic","1: large central metro",1209299,2479108,1192764,5501350,2,112,33,0,22,1,170,1.51319195826156,0.452031929797196,0.144989626030175,0.504881364718169
"14","Middle Atlantic","2: large fringe metro",469941,4050449,677056,5610741,1,30,13,0,48,2,94,1.04300793796479,0.313710067994201,0.193618907286619,0.273726804696329
"15","Middle Atlantic","3: medium metro",164628,1912399,176657,2347239,0,33,7,1,40,2,83,3.27506507223937,0.64740624555415,0.341736352002633,0.577737390612748
"16","Middle Atlantic","4: small metro",56465,763098,56208,905244,0,7,0,0,16,1,24,2.02548207067846,0,0.342570027877668,0.433166919305833
"17","Middle Atlantic","5: micropolitan",36709,755286,25071,832533,1,2,1,0,9,0,13,0.890158078173585,0.651685471095571,0.194688711312713,0.255124161800051
"18","Middle Atlantic","6: noncore",15814,299843,11912,331774,0,1,0,0,6,0,7,1.03316089830764,0,0.326939227112263,0.344719131459546
"19","Mountain","1: large central metro",185486,1747594,716104,2877815,4,35,82,6,121,9,257,3.08295087286532,1.8708865312282,1.13123939538948,1.45908283075185
"20","Mountain","2: large fringe metro",40360,657836,176717,930734,0,6,14,1,39,3,63,2.42890085914327,1.29437286872072,0.968627213146811,1.10592242905893
"21","Mountain","3: medium metro",55822,1487881,447945,2112917,1,17,74,4,86,9,191,4.97568896813497,2.69908599714684,0.944365143678821,1.47693242619321
"22","Mountain","4: small metro",17695,796464,228978,1111541,1,1,36,7,72,3,120,0.923334639493476,2.56872988693296,1.47698485317638,1.76386545660524
"23","Mountain","5: micropolitan",15121,695459,196837,985075,0,0,22,2,42,1,67,0,1.82610455254051,0.986705284891211,1.11125876899838
"24","Mountain","6: noncore",5832,400001,65099,520811,1,1,6,7,26,0,41,2.801510021577,1.50586704365693,1.061993763995,1.28621450829441
"25","New England","1: large central metro",119732,541240,147418,871135,0,12,6,0,8,1,27,1.63749772283136,0.664982828928777,0.241495919678325,0.50639335354176
"26","New England","2: large fringe metro",86160,1619209,125055,1973974,0,6,6,0,23,3,38,1.13777203661818,0.783898594018811,0.232078347053563,0.31452260513148
"27","New England","3: medium metro",115493,1323309,191157,1712689,1,7,6,0,23,1,38,0.990266467412392,0.512826831740519,0.283972487343661,0.362505653356686
"28","New England","4: small metro",6013,296505,6292,319686,0,0,0,0,13,0,13,0,0,0.716343008704345,0.664399704071751
"29","New England","5: micropolitan",4977,403506,8561,427888,0,0,3,0,12,0,15,0,5.72540816931564,0.485893338265217,0.572757583030036
"30","New England","6: noncore",1969,245173,3419,256539,0,0,1,0,13,0,14,0,4.77870910963354,0.866324121317934,0.891629304868729
